tweet,label
"Arkadaslar dikkat
Küçük bir arastirma
Meral ermeni
Kemal ermeni
Hdp %80 ermeni
Chp de suan ekseriyetle ermeni
Ali Koç yahudi
Dahasi var da  merak ettigim     benim ülkemde düsmanin bu kadar söz sahibi olmasi normal mi",nefret
senay971@USER ahmak 24 25 26 yit anlatmiyor ayrica Hiristiyan o günleri ayin sonuyla birlestiriyor hepsi bir arada olsun bitsin diye agaç hz isa nin dogumunu sevincini simgeler onun için süslenir Avrupali çocuklari ilkokul da kiliseye camiye götürülür hepsi anlatilir kimse kimsenin dinine bilmeden küfür etmesin saygi göstersin diye ayrica herkeste girsin sevinsin ama hadi isinize bakin siktir in gidin dedin mi o laflarina oturup bir güzel yiyeceksin herkesten ...,nefret
"Su Suriyeli teröristleri içimize sokup(!) basimiza bela edenlerin Allah Belasini versin, tabii ki ""disaridan"" tam destek veren sahte Milliyetçilerin de!",nefret
"Yahudi örtüsü kara çarsafi sahiplenen sözde Müslüman özde seytan Arap kavmi...
Yakin gelecekte bunlarla mücadele etmek gerekecek, cehennem yani.
Ey din, sen ne sahane bisiisin! LINK",nefret
Mubariz Mansimov: benim sirketimde 3-cü nesil ermeni bile çalisamaz. #MubarizMansimovaAdalet LINK,nefret
"Neymiş, şirket arap’a satıldığı an terk edilmeliymiş.. yazık!#türktelekom",nefret
Yahudi kuklası bb 🎬,nefret
Ölen her insana covit teşhisi koyan ölenlere otopsi yapmaya rohşisdin köpekliğini yapan hainlere ve z kışağına hakkımı helal etmiyorım hdp chp pkk ermeni rum yahudi azınlığın hainliklerine çanak tutanlara hakkımı helal etmiyorum,nefret
Ulan feribotta yanımda oturan suriyeli çocuk türk manita yapmış aq başımıza taş yağacak 😄,nefret
"asil tehlike SURIYELI degil AFGANLARDIR

SURIYELILER patir patir SIKISIYOR valla gördügünüz üzere etraf suriyeli bebe kayniyor..

peki ya AFGANLAR??? 

ya sikismiyorlar , YA DA BIRBIRLERINI GÖTTEN SIKIYORLAR!!! 

GAY SEKSE HAYIR!!!",nefret
"Bu arap ve arap sevicileri sübyanci sapiklar bariz belli ,nasil bir mide var çocuk yasta ki kiz çocuklari ile evleniyorlar ve buna razi gösteren bir devlet oluyor .
Turkiye suriyeli sapiklara dokunmuyor ama kendi vatandasi resit olmayan birisi ile evlendimi  15 yil sonra",nefret
benden aldığınız vergilerle hep suriyeli lere yardım dağıtıyorsunuz bigün 2 bira alın gelin de vergi alırken yüzünüz olsun. @crmbelediyesi https://t.co/a9fS70xkvu,nefret
Trabzon Havalimani'ndaki Arap populasyonu hayret verici hakkaten.  Trabzon' nun parsel parsel Araplara peskes çekildigini unutmamak lazim tabii. Ilgili görsellerden birini birakiyorum asagi. LINK,nefret
y-chp'nin simgesi k.rdofil ermeni yalakası canan kaftancıoğlu'na da akp'ye de karşıyız! bu ikisi birbirinin zıttı değil aynı kapının yoldaşları! başbuğun partisi kemalist özüne dönmeli!,nefret
Suriyeli veya başkası.bunun yapan tek kelime ile orospu çocuğudur.dini kitabı ırkı olamaz. https://t.co/VMM6vs1ODl,nefret
"#BogaziçiDüsmeyecek 
Ulan ne Anarsist kafalisiniz sanki gavur saldirdi düsmana direnir gibi birde düsmeyecek diyorsunuz yakinda özerklik ve kurtulus günüde talep edersiniz sizin yeriniz okul degil silivri @USER @USER @USER @USER",nefret
"Tam tespit ve cesurca ifade. Yeter ki biz AB, ABD, Yunan Israil ve kurduklari ser  ittifaki karsisinda Dogu Akdeniz ve Kibris'ta geri adim atmayalim. Gücümüzün farkinda olalim. Su veya bu nedenle Geri adim atarsak Dogu Akdeniz ve Kibrisi kaybederiz, Anadoluyu da savunamayiz. LINK",nefret
"Bir yahudi on ermeni yi aldatir ama bir yunan on yahudi yi aldatir

Anonim",nefret
"Demiştik ya bunlar  İTLER!!!!!
utanmadan sıkılmadan biyerde suriyeli biyerde türk  rolü oynuyor...
Katıksız yahudi tohumları bunlar...
#Güvenlikkorucuları  oyuna gelmeyin #Gk https://t.co/MleB7r1MV3",nefret
"Kitlama çay
Hurmadan sekere
Mollalara rüsvetle döndü
Böyle bakin her meseleye
Din sömürüsünü gavur daima kullanir LINK",nefret
"Twitter da sallamakla olmuyor. Içimizde gizlenen ve hainlik yapan, fitne çikaran Ermeniler ve Rumlar #DevletiSizeTanitacagiz",nefret
"TÜRK olmayan ve TÜRKLERİ yönetip, soyan, çoğu rus asıllı (laz, çerkez, gürcü, ermeni) yahudi, hristiyan hain hırsızlar utanmazlarki! https://t.co/ECgIHXJXo3",nefret
"😁 güzel bir gün, bir yunan tohumu daha içerde https://t.co/ZHrgk6F4LA",nefret
#Kürdistan dedigin ingiliz ve siyonist yahudilerin kurmak istedigi devlet ... oyuna gelmeyin ... turkiye kardes ulkesi ..,nefret
oglumu hdp aldi bunlar müslüman degil bunlar gavur. amerikayla is tutuyorlar. kürt falan da degiller. kendi çocuklarini göndersinler daga. amerika'da çocuklari okuyor. cigerimizi yaktilar allah da onlarin cigerini yaksin. vicdansiz bunlar. kürtlerle niye ugrasiyorlar. gavur bunlar,nefret
Tinder da sağa sola kaydırıyordum... Suriyeli çıktı amk burda bari salın bi bizi!,nefret
laleli arap kokuyo resmen atmosferi degistirmis serefsizler,nefret
#7Eylül Aydin'in kurtulusu muzafferdir. Yunan mezaliminde kan kokan sehiri kurtaran yigitler... LINK,nefret
"suriyeli hastanın irili ufaklı 7 tane çocuğu olduğunu gören yaşlı bir hastam ""kızım evlenip bunlardan fazla doğurmanız lazım yoksa geçemeyeceğiz bu amına koyduklarımı"" dedi. asfsada dayı bu bana yüklediğin nasıl bir sorumluluktur",nefret
"Ebesini belledi yahudi ve ingiliz, normal https://t.co/VlXWxTqyDq",nefret
"Bu Millet ne çektiyse hep Kripto Ermenilerden çekti..
Cumhuriyetin ilk yillarinda, sessiz sedasiz yüz binlerce ermeni Türk vatandasligina getirildi.. Soylari arastirilsin, Devlet görevi verilmesin, Alevi ve Sünnilerin içlerinden ayiklansinlar! #28Subat",nefret
YUNAN VE RUM KORKUDA  SOM B2 TESTI BASARI ILE GERÇEKLESTIRILDI.... LINK @USER araciligiyla,nefret
"Budur.
Artik, TÜRKIYE'YI satip, soyan nankör, hain hirsizlara karsi BIRLIK olma zamani.
Ya vatan seversin ya da vatan haini!
Çevrenizdeki TÜRK olmayan, müslüman geçinen, çogu rus asilli yahudi, hristiyan hain, hirsiz, cani siyasilere, bürokratlara, is ve din adamlarina dikkat! LINK",nefret
"Suriyeli kurban byramina ülkesne gidyor çok çok daha ucuza kurbanni kesip kavurma ypip dönüyor, yetmiyor devlet Suriye'den ptates aliyor.. Ösoluler bizim maaslari tl ile ödemeyin Suriye parasi ile ödeyin diyor..
Arkadas kimin ülkesinde savas var?? Kimin ülkesi isgal altinda?",nefret
Güney asyali ve arap nefretim bitmek bilmiyor..teşekkürler girne tesekkurler girne amerikan,nefret
"Gazimagusa'da 3 sapik kadin ""LOVE ERDOGAN"" yazili pankarlarin üzerine ""Seytan"" yazdi. Yakalanarak terör örgütleri ve Rum baglantilari arastirilmali. @USER @USER @USER @USER",nefret
"Ve uzayında b*ku çıktı arkadaşlar....Birleşik Arap Emirliğinden Hazza Al Mansuri uzaya uçan ilk arap oldu. Bir kaç yıl içinde uzay savaşları çıkarsa şaşırmayın.....vah uzaylı kardeşlerim, acınızı tüm içten duygularımla paylaşıyorum....geçmiş olsun diyeceğim de, geçmez artık🤨🤨🤨",nefret
"Zamanında  ülkemin  en güzel  yerleri en iyi konumları yahudi Ermeni Rum devşirmeler ine  peşkeş çekildi 
Bu ülkenin gerçek evlatları hep açlıkla korkutuldu

Nerde tam bağımsız Türkiye diye anıranlar 
Tam bağımsız Türkiye RTE sayesinde  gördük 
Bu kutlu yol sancılı olacak 🇹🇷☝️",nefret
"660. tarihi #Kirkpinar Yagli Güresleri festival haftasinin Ermeni isgalinden kurtarilmis ezeli Azerbaycan topragi #Karabag'in #Susa kentinin #CidirDüzü meydaninda düzenlenmesini teklif ediyorum.
#ErMeydani

@USER
@USER
@USER
@USER
@USER LINK",nefret
"bu Vatan haini teröristlerin çoğu alevi, fetöcü
hiristiyan, yahudi
ve başka kiriptolar https://t.co/DRvm6k5DCa https://t.co/8v7maDOdef",nefret
"serefsiz ermeni tohumlari, amerikanin batinin itleri (it bile ekmek yedigi kapiya ihanet etmez) siz bunlari yasatip simdi de vatanina sahip cikanlari diktatör diyorsunuz. hain olanda asilmasi gerekende  sizlersiniz. siz kahpece haince kallesce ya hava helikopter düsürtürsünüz. LINK",nefret
"#ahaberkapatilsin diyen soysuzlar yahudi gazeteleri sözcü karar gibi gazetelere ses etmezler.
Çünkü bunlar dilleri müslüman kalpleri yahudi olan asagi tabakadadirlar...",nefret
Yalan dolan isiniz yahudi sizi iyi kucaga oturtmus ama bu milletin büyük bölümü size inanmaz g.t leriyle övünen ahlaksiz GÜRUH kimlerin köpegisiniz marx oldu lenin oldu mao oldu simdi atatürkçü oldunuz güya reziller#AsagiBakmayacagiz,nefret
"?????? Arda be, adamlik ögreniyoruz aq sayende, burun kirmalar hastane basmalar.. ama burasi Türkiye sana bi bok olmaz biz yapsak ömür boyu çikamayiz hapisten. bir gün gelir o paranda önünde yerin dibine girer bunu da unutma!",nefret
Artik rüyamda da suriyeli görür oldum.uykularimida isgal ediyolar?????,nefret
"De buyur.. Bir bu hariçten gazel okuyan, başımızın belası Suriyeli hainler eksikti..! https://t.co/eApc6kshkm",nefret
"Mevcut siyasi partilerden bir fayda beklemek; 
saflıktır, ahmaklıktır.

Onların derdi Türk milletinin bekası ve refahı 
değil. Hepsi ihanet içinde.!
 
CHP, Kürtçü bölücü Ermeni kırmalarının işgali 
altında!",nefret
Fox haber yalanın merkezi Fox anlamı tilki demek sahibi İngiliz tam bir yahudi uşağı başka söze gerek varmı #YalancıFOXTV,nefret
emeğinize sağlık. işte bu vatan hepimizin. tüm renklerle türk kürt laz çerkez arap sünni alevisiyle müslümanlar kardeştir. tüm renklerle müslüman müslümanın kardeşidir. ırkçılık şeytandandır. ırkçılık yaptıkça kafirler güçleniyor. ırkçılık müslüman kafası değil.,nefret
kmddyc45x@USER Sehitlerimiz için böyle yazan Bir serefsiz insani destekleyende TÜRK DEGILDIR PKK yandasi itler,nefret
Yavas yavas anadoluya yayilmakta olan arap vizyonsuzlugu ektedir :d LINK,nefret
#SevgiliSelahattinDemirtaş terörist demistaş bunlar ķürt değil ermeni tohumu  gercek kurt selahaddin-i eyyubi vatanini sevendir,nefret
"Budur.
Ancak, TÜRK ve TÜRKIYE için YABANCILAR DEFOLUN kuralinin uygulanmasinin gerekliligi, son 70 yildir, TÜRK ve Müslüman olmayan, çogu rus asilli yahudi, hristiyan hain, hirsiz, cani siyasi, bürokrat, is ve din adamlarinin soylariyla kanitlanmistir.
TÜRKIYE TÜRKLESMELIDIR! LINK",nefret
Akp bunun hesabını 2023 de vereceksin ben avrupada yaşıyorum kardeşim rusyada yaşıyor sizin yaptığınızı gavur yapmadı lan yazıklat olsun size  #SırdancıBedoYalnızDeğildir,nefret
Çingene seni siktir git bu kulüpten,nefret
VATAN HAINI KIME DENIR? = AKP ve yandaslari Amerikaya 9 Trilyon Dolarlik BOR Madenimizi 40 Milyon Dolara Yahudi is adamlarina satildi LINK @USER araciligiyla,nefret
"Kürt kardeslerimiz gerçegi gördü. pkk ve hdp kürtleri temsil etmek bir yana Kürtlere en fazla Kürtlere en büyük zarari veren törör örgütü ve temsilcileridir.
pkk taseron bir terör örgütü destekleyenler teröristtir. 
DIYARBAKIR TÜRKIYEDIR.",nefret
yanılıyorsun kürt halkı bizzat hdp'yi provoke ediyor ayrıca hdp il ilçe teşkilatlarına yapılan herhangi bir provokasyon kürt halkını provoke etmek değildir.,nefret
"Başkonsolos olarak görev gördüğüm Los Angeles'te 2 Başkonsolos ve 1 diplomatımız Ermeni teröristlerce şehit edilmiştir. Bu katil teröristler, Dünyada başka bir örneği görülmedik şekilde,  Ermenistan tarafından ""onurlandırılmakta"" ve adlarına ""anıtlar"" ""mezarlıklar"" yapılmaktadır.",nefret
"Papa makaminin varligi ve amaci tüm dünyayi hiristiyan birligi çatisi altina almaktir. Irak ziyareti Ortadogudan tüm dünyaya mesajdir anlayana. Haçli zihniyetinin artiklarinin Ortadoguda ki hedefi, böl, parçala yoket modeli iken tabloya bakinca hedef neresi oldugu bellidir.?.",nefret
suriyeli ögrencilere var bizim çocuklarimiza yok,nefret
skicem lan yeter gençliğimizi yedin Çinli senin mına koyayım https://t.co/0hlzkUAe2y,nefret
Arada kalmış Ezik Arap karekteri bu modeller böyle https://t.co/HhVzoROzUY,nefret
"Kadın diye ismini andıklarının tamamı uzun tırnaklı şeytan 
O kürt Anneleri kapınızda yatıyor teröre taşaronluğu bırakıp o annelere kulak kesilin... https://t.co/I1co8L9UVc",nefret
1 suriyeli 1 türk yine 2. sınıf vatandaş muamelesi,nefret
"İşin en düşündüren yanı da şu;
O çocuklar geri döndüğünde evlerine değil de hapse gideceklerini bildikleri halde, Devletin Hapishanelerini, Ermeni maşası bir terör örgütü mağarasından daha güvenli buluyor bu anneler.
Gerçekten de öyle. Devletin zindanı, PKK  inlerinden ışıklıdır. https://t.co/wOLSnwdKcd",nefret
w.buhs yardimcisi eloms Abraham ortadogu uzmani bop plani mühendisi dis politika strejisi belirleyen kriptolanmis Yahudidir yahudi kongresi (icfr) baskan yardimcisi bop plani genis corafyada etkili plandir Çinden Ipekyolu avrupaya Israil kontrolüdür #NeOluyor,nefret
"Bu yahudi dölü yakalanmalı
@TC_icisleri 
@EmniyetGM https://t.co/AOXVdl8uY5",nefret
"Çoluk çocukla ugrasmayi birak. 
AKP olarak basimiza sardiginiz Suriyeli serefsizlerin icabina bak Süleyman!

Sen bakmazsan bu millet çocuklarina uzatilan eli de dili de koparir.

Isini yap Süleyman, isini...

@USER 

 #MuhammedNurTutuklansin",nefret
"Ensar Vakfı'nda 45 çocuğa tecavüz edenler Netflix mi izliyormuş?
Suriyeli kadına camide tecavüz eden imam Netflix mi izliyormuş?
Tarikat yurdunda 20den fazla çocuğa tecavüz eden öğretmen görünümlü sapıklar Netflix mi izliyormuş?
Emine Bulut'u katleden sapık Netflix mi izliyormuş?",nefret
"???? Selahattin Eyyübi kadar Kürt ! 

???? Fatih sultan mehmet kadar Türk 'üm ! 

Selahattin demirtas teröristtir.. Hain Ermeni yorgonun kardesidir.

#SevgiliSelahattinDemirtas LINK",nefret
örnek önüme düştü. bakın eski bir alevi subayımız ömer adına kinini kusmuş. ayrımcılık budur,nefret
Dinsiz imansiz pkk ermeni dölleri en güzzel açiklama LINK,nefret
Yemeksepeti'nde bizim mahallenin muhtarı Suriyeli... Siz yatın kalkın Reis'e dua edin.,nefret
israil dinci emperyalist sermaye kuklasi devletinin çaresiz insanlari samar oglanina döndürdügü dünya sessiz. yaziklar olsun sizin gelismisliginize hadi diyelim fistanli araplar abd ingiliz emrinde embesiller halklari da mi böyle asagilik yani?,nefret
Yarin soka çikicam zevkine suriyeli dövücem amk,nefret
"Türk'üm dogruyum çaliskanim dediler, ermeni-yahudi çiktilar, devamli devleti bankalari soydular, 80 sene sadece heykel yapip yan gelip yattilar.",nefret
"Bu ahlaksız Suriyeli bizim çocuklarımızı ve üniversitemizi bombalayacakmış!!! 
#MuhammedNurTutuklansin
#edepsiz 
#AşağıBakmayacağız https://t.co/aCB4Iv1q2m",nefret
"Moiz Kohen.Selanikte bir yahudi ailenin çocuguydu. Babasi bir Haham idi,kendisi de Haham egitimi aldi.Masonluga girdi.Kemalizmi tanitan çesitli kitaplar yazdi. Tekinalp takma adiyla Seriat'a yani Islam'a hakaret edip Türkçülügü tesvik etti.Elin yahudisi neden Türkçülük yapar? LINK",nefret
Ülkede ne kadar kaçik varsa oglunu demirle döven manitayi pompaliyla vuran kahveye satirla dalan böyle bu tarz dehset dolu sabah haberlerinin kahramanlari hep kürt,nefret
"Budur.
Bir avuç rus (laz, çerkez, gürcü, ermeni), rum, yahudi,...asıllı haçlı, haham hain hırsızların, sinsi kriptoların, arsız yamyamların  istediği budur.
TÜRKİYE'Yİ TÜRKSÜZLEŞTİRMEK!!
HER TÜRK, HER ALANDA GÖREV VE SORUMLULUK ALIP, DEVLETİNE, ULUSUNA, ÜLKESİNE SAHİP ÇIKMALIDIR https://t.co/a9H7U4XuCi",nefret
"İRAN İslam dünyasının FETÖ' südür.

Bugüne kadar Allah yolunda attığı tek bir adım yoktur. 

Bütün silahlı müdahaleleri BATI'nın işine yarayan müdahalelerdir.

Son örnek Ermeni Azerbaycan çatışmasında önce Ermenilerin yanında yer almasıyla ortaya çıkmıştır.

Sonradan çark etti. https://t.co/kVoTXyEGVf",nefret
Çaldıkları şampiyonluklarımız yetmedi. Çaldıkları besteler yetmedi. Artık üçlüye sardılar. Fransız sanıyorduk yunan çıktılar. Her şeyi çalıyorlar. #aglamaartıkgalatasaray https://t.co/UbHFJglXKM,nefret
"Arap dünyasi fitne fesat, Tam gaz.. Iflah olmazsiniz!... LINK",nefret
"Kimse komplo teorisi demesin.
suriyeli'ler gelmeden önce böyle olaylar yoktu.
Bu cahil dinci güruh büyü için, kedilerimizin bacaklarını kesiyor. https://t.co/bnoGsH0kCG",nefret
#SevgiliSelahattinDemirtas terörist demistas bunlar kürt degil ermeni tohumu  gercek kurt selahaddin-i eyyubi vatanini sevendir,nefret
Dünyanin anasini siken o çinli piçe noldu bana biri bunu söylesin!,nefret
"Bir yahudi on ermeni yi aldatır ama bir yunan on yahudi yi aldatır

Anonim",nefret
"Bu kripto yahudi sitonist köpekler hep bizi kandırdılar.
Çocuklarımızı savaştırıp kendileri keyf çattılar.
Bizim kemalist kriotoların bize yaptığı gibi.
#AnnelerDireniyor",nefret
#türktelekom gibi bir sirketi Arap piçine bedavaya verirseniz böyle olur,nefret
Ülkemde suriyeli istemiyorum bro LINK,nefret
"Boğaziçi üniversitesi geçmişte, Robert koleji olarak yahudi ve ermenilere özel eğitim vererek bir nevi militan yetiştirilen bir yerdir.
🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
Öğrencilerin? müslümanların kıblesi olan Allah'ın evinin resmini yere attıran karanlık bir eldir ..
  
#KabeyiSavunanFişleniyor https://t.co/whZmBLtUSV",nefret
"birini tanistirirken alevilerde ""yabanci degil bizden"" sünnilerde ""gavur degil bizden"" yabancilarda ""not animal one of us""",nefret
"Endex yukarı giderken bile hisseyi baskılayıp Ky i zarara sokan , satmaya zorlayan yahudi köpeklerinin yaşaması helal midir acaba ?",nefret
Çok sükür bütün toplar güç ediyor Türkiyeden,nefret
Ermeni piçleri dir LINK,nefret
 ardaturan barcelona senin için iyi ki göndermisiz diyor Türkleri de rezil ettin yavsak,nefret
Bence kapatilsin parasini Yahudi den alan bir televizyon kanali #YalanciFOXTV,nefret
tatli tatli coconutimi icerken haysiyetsiz bi suriyeli karsima oturdu ve bundan hoslandim @USER LINK,nefret
"Bunu yapmazlarsa Ingiltere Yahudi Bankerleri, Ingiltere Emperyalizminin silahsörleri olarak Türkiye'yi teslim alacak. RTE, IMF den kredi almayip yüksek faizle bu bankerlerden borç aliyor. Hazine garantisi yemegin kalan kismi. Ingiltere savasta alamadigini RTE ile aliyor. LINK LINK",nefret
"Allahim 
Sen Küçük Isleri Büyük
Büyük Isleri Küçük Yapmaya Muktedirsin
Bu Küçük Isi Öyle Büyüt ki
Tüm Ülkedeki Anneler Ayaga Kalksin
Bu Gavur Ermeni Münafik Gürüh Silinsin Gitsin
Amin Amin
Allahümme Amin LINK",nefret
bati derin devletleri kürt halkinin dostu degildir lgbti'ye degil annelere destek,nefret
 k47cm lan amina kodumun arabi ingilizce söv bari arapca sovme orospu cocugu,nefret
"Devlet artık Ermeni, Yahudi ve Rum vs azınlıkları Türk gösterme siyasetinden vazgeçmelidir..

Onlar Türkleri açık açık bilirken, Türkleri onları Türk bilip oyunlarına düşmeden kurtarmalıdır..",nefret
"Suriyeli ve Afganlar bedavaya,
Katarli ve çinliler parayla ülkeyi isgal ediyor.
Bir ulusun yok edilis hikayesinin tam da içindeyiz.
Ama derdimiz üniversiteler 
Okumus toplumdan neden bu kadar korkuyorsunuz yezid soylari",nefret
Homoseksüel Yahudi TERÖRİST geert wilders... https://t.co/Ziv3VQzAAp,nefret
"Evvelâ telefonunuz size âit olmak zorundadir. Türk Telekom, özellestirme adi altinda Arap'lara peskes çekilirken alkislayan çomarlarin simdi hayiflanmaya hakki yoktur.",nefret
"Kim ne düşünürse düşünsün be derse desin ama ben ülkemde ne Suriyeli ne de Arap görmek istemiyorum ya 
Kendi ülkemde yabancılık çekiyorum resmen rezilliğe bak.",nefret
Ne demek aşağı bakın siz kimsiniz ? Suriyeli hainlere yapmadığınız muameleyi siyasi görüşü ne olursa olsun bu Vatanın öz evladına yapamazsınız o kadar #NutukTim #AşağıBakmayacağız https://t.co/DtFUrNdELQ,nefret
"Oralar tekrar ormanlaştırılır, TÜRK ve Müslüman olmayan, çoğu rus (laz, çerkez, gürcü, ermeni) rum, yahudi, arap,...asıllı hain hırsızlar, sinsi kriptolar, arsız yamyamlar defedilir.
Hesap vermeden olmaz!
Anlayanlara iyi geceler. https://t.co/YpW4Dhorg4",nefret
"yavsak suriyeli'ye bak mk, akplilerden daha iyi türkçe ögrenmis.
#MuhammedNurTutaklansin LINK",nefret
"Rusya Twitter'ı 'Rus yasalarını kasten ihlal etmekle' suçladı via @kibris_postasi https://t.co/lpzM6pM4Ij  @mucit48 
Ruslar önce kendi Facebook larına ceza kessinler. Ermeni katillerle Birlikte soygun,soykırım,servet,Toprak,PETROL hırsızlığı yapıyor 🇹🇷🇹🇷🇹🇷https://t.co/vWAnahDFbl",nefret
Kahpeler yahudi Ermeni Usaklari LINK,nefret
Kendine sol görüşlü diyen biri daha şunu savundu götüne bastım engeli sol görüşlü biri kürt Suriyeli ayıramazmış bal gibi ayırırız dostum,nefret
"TARİHİMİZİ UNUTMAYALIM: Özellikle 1964, 1965  Kıbrıs Türkleri için tam manasıyla ölüm kalım yılları olmuştu. Aralık 1963 saldırıları ile 24 saat içinde Türkleri bitireceklerini sanan rumlar başaramayınca çıldırarak Türk olan her şeye acımasızca saldırmaya başladılar. https://t.co/0iIdA6cQqb",nefret
"Burasi Burma..
Putperest budistler Müslüman çocuklara iskence ediyor..
Müslümanlari yardimsiz birakan her yönetici, Allah katina elleri boynunda gelecektir. Onlara Lanet ve zillet vardir.
Bu devletler müslümanlarin devleti degil, bu yöneticiler müslümanlarin yöneticileri degil.. LINK",nefret
"Birkaç ay önce tüm Ankara’yı gezip gitme vakti gelincede yorgunluktan merdivenlere oturmuştum bitap halde Aştideyken Suriyeli sanıp önüme para falan koyan olmuşlardı ,baya üzüldüm evet https://t.co/XlDM9EJoEy",nefret
ne kadar ermeni piçi varsa  ne kadar rum kalintisi varsa ne kadar yunan döllemesi varsa hepsi #CananKaftancioglu nun kicinda geziyor.. müebbet.. müebbet..vatan hainlerine müebbet istiyoruz.. Alayini vatandasliktan çikarin geldikleri çöplüklere yollayin,nefret
Akp nin kocalarıdır suriyeli  picler https://t.co/iVjY8nSOVi,nefret
Bence Darbe vurma /Bölme /Parçalama partisi Nedim Bey ...Tipki Yahudi teknigi gibi böl/parçala/yönet LINK,nefret
"Türk Milletinin Asirlardir Bilegini Bükemeyenler, Anadolu'dan Çanakkale'den , Izmir'den savasarak  denize döktügümüz gavur bizi dolarla yikamayacagini çok iyi biliyor ama içimizdeki hainleri bu gibi bahanelerle ayaklandirma pesindeler. Fakat Türkiye Eski Türkiye Degil. ????????",nefret
mastermonsters Ya kütük gibi sarki okumus Ruslarin Ingilizce konusmasi gibi...bir de sarkimi popo mu belli dil...güzel olmus mu hayir paraya da em egede yazik diyorum,nefret
"Güney Kibris Rum Yönetiminin Limasol kentinde Irkçi/Islam düsmani Rumlar tarafindan camimize yapilan alçak saldiriyi siddetle kiniyorum. 

Türklüge ve Islamiyete düsman olan Rum zihniyetinin kaybetmesi mukadderdir. 

Bölgedeki soydaslarimiza geçmis olsun dileklerimi iletiyorum. LINK",nefret
#Persembe Bol Suriyeli bir Istanbul sabahindan günaydin.Suriyeli orta kesimlerde hafif siddetli kiyi kesimlerde yer yer görünüp kaybolma seklinde hayatimizin içinde.,nefret
"#ahaberkapatılsın ki Türk ve Türkiye düşmanı yahudi mördakın #YalancıFOXTV'si rahat yalan söylesin 

 https://t.co/BfG8YgtGUk",nefret
Bunlar Türk degil ki degerlerimizi bilsin Ermeni tohumu f''''' ise LINK,nefret
Suriyeli dışında giderm var https://t.co/papnIFCX53,nefret
"ŞU SİYASET SAHNESİNE BAKIN, BUNLARI ÇOCUKLAR, KADINLAR, GENÇLER DİNLİYORLAR. GIYBET,İFTİRA HAKARET, HER ŞEY VAR.BİZE YÖNÜNÜ DÖNMÜŞ ASYA TÜRKLÜĞÜ,BALKANLAR, KAFKASYA SEYREDİYOR.DEVLET ADAMI GİBİ DAVRANILMALI DEĞİL Mİ?İÇİMİZDEKİ RUM, ERMENİ, YAHUDİ, BÖLÜCÜLER DE KINA YAKIYOR",nefret
#hilalkaplanyargılansın bunların hepsi yargılanmalı yahudi ajanlar,nefret
