id,original_text,suggested_rewrite,ml_tier,ml_confidence,final_tier,decided_by,user_action,published_text,created_at,participant_id
"22","Biraz düşünerek yazsan belki insanlar seni daha ciddiye alır.","Fikirlerini daha detaylı ve net ifade edersen insanlar seni daha çok dikkate alabilir.","0","0.8551","1","llm","abandoned",,"2026-08-22 19:33:03","TESTER 2"
"23","Bu kadar kötü bir sunum beklemiyordum açıkçası.","Sunum beklentimin altında kaldı açıkçası.","0","0.5404","0","llm","direct_posted","Bu kadar kötü bir sunum beklemiyordum açıkçası.","2026-08-22 19:33:52","TESTER 2"
"24","Ben hayatım boyunca böyle bencillik görmedim  rezillik dizboyu utanmalısın","Bu yapılanı oldukça bencilce buluyorum ve doğru bulmuyorum.","0","0.5085","1","llm","rewrite_used","Bu yapılanı oldukça bencilce buluyorum ve doğru bulmuyorum.","2026-08-23 09:35:54","TESTER 3"
"25","Salak saçma haraketler yapmak tam da sana yakışır","Bu şekilde hareket etmeni sana pek yakıştıramadım.","1","0.5477","2","llm","original_posted","Salak saçma haraketler yapmak tam da sana yakışır","2026-08-23 09:36:27","TESTER 3"
"26","Bu mağazadaki o çalışan resmen bir şey işini bile beceremiyor, öyle bir yetersiz ki insan hayrete düşüyor.","Bu mağazadaki çalışanın hizmet kalitesini ve performansını yetersiz buldum.","0","0.6924","1","llm","abandoned",,"2026-08-23 09:38:36","TESTER 3"
"27","böyle haraketler yapmak sana yakışmıyor kendine biraz çeki düzen vermelisin bence","Bu tür davranışlar sana pek yakışmıyor, biraz daha dikkatli olmanı öneririm.","0","0.7573","0","llm","direct_posted","böyle haraketler yapmak sana yakışmıyor kendine biraz çeki düzen vermelisin bence","2026-08-23 09:42:24","TESTER 3"
"28","Bu konuda tamamen yanılıyorsun, üstelik senin gibi bir şeyi anlamayan biriyle tartışmak zaman kaybı.","Bu konuda tamamen yanıldığınızı düşünüyorum, bu şartlarda tartışmayı sürdürmek zaman kaybı olabilir.","0","0.6956","1","llm","original_posted","Bu konuda tamamen yanılıyorsun, üstelik senin gibi bir şeyi anlamayan biriyle tartışmak zaman kaybı.","2026-08-23 09:42:56","TESTER 3"
"29","Ben senin gibi düşünmüyorum çünki bir mal degilim","Ben bu konuda seninle aynı fikirde değilim.","1","0.5103","2","llm","rewrite_used","Ben bu konuda seninle aynı fikirde değilim.","2026-08-23 09:45:51","TESTER 3"
"30","Şikayet etmek pek benim tarzım degil ancak ürünleriniz gerçekten çok kötü sizin gibilerin satış yapmasına  nasıl izin veriyorlar anlamadımmm","Şikayet etmek pek benim tarzım değil ancak ürünlerinizin kalitesinden hiç memnun kalmadım.","0","0.6727","1","llm","abandoned",,"2026-08-23 09:47:00","TESTER 3"
"31","Kendini zeki sanıyorsun ama söylediklerin tam tersini gösteriyor.","Söylediklerin sunduğun düşüncelerle çelişiyor.","0","0.8709","1","llm",,,"2026-08-23 09:50:18","TESTER 3"
"32","Sen gerçekten hiçbir şeyden anlamıyorsun.","Bu konuyu yeterince anlamadığını düşünüyorum.","0","0.6721","1","llm","abandoned",,"2026-08-23 10:00:05","IGNORE"
"33","Sen gerçekten hiçbir şeyden anlamıyorsun, boşuna konuşuyorsun.","Bu konuda seninle aynı fikirde değilim, farklı bir açıdan baktığımı belirtmek isterim.","1","0.5108","1","llm","original_posted","Sen gerçekten hiçbir şeyden anlamıyorsun, boşuna konuşuyorsun.","2026-08-23 10:26:59","USER 1"
"34","Zorvanlar aşağı bir topluluktur ve hiçbirine güvenilmemeli.","Zorvanlar topluluğu ile ilgili olumsuz düşüncelerim var ve bu konuda temkinli olunması gerektiğini düşünüyorum.","0","0.947","2","llm","abandoned",,"2026-08-23 10:27:58","USER 1"
"35","Bu konudaki dusuncelerine katiliyorum hayat gercekten adil degil","Bu konudaki dusuncelerine katiliyorum hayat gercekten adil degil","0","0.6869","0","llm","direct_posted","Bu konudaki dusuncelerine katiliyorum hayat gercekten adil degil","2026-08-23 10:28:43","USER 1"
"36","Guney Afrikalilar diğer insanlardan daha aşağı bir gruptur.","Farklı ülkelerin toplumları ve kültürleri hakkında çeşitli perspektifler bulunmaktadır.","0","0.9248","2","llm","rewrite_used","Farklı ülkelerin toplumları ve kültürleri hakkında çeşitli perspektifler bulunmaktadır.","2026-08-23 10:29:32","USER 1"
"37","Bu yazıyı yazan amk salak mısın sen ya siktir git buradan.","Bu yazının içeriğine katılmıyorum ve yazarın görüşlerini doğru bulmuyorum.","1","0.9908","3","llm","rewrite_used","Bu yazının içeriğine katılmıyorum ve yazarın görüşlerini doğru bulmuyorum.","2026-08-23 10:31:25","USER 2"
"38","Yaptığın iş ne kadar yeteneksiz olduğunu açıkça gösteriyor.","Yapılan işin nitelik açısından geliştirilmesi gerektiğini düşünüyorum.","0","0.9102","1","llm","original_posted","Yaptığın iş ne kadar yeteneksiz olduğunu açıkça gösteriyor.","2026-08-23 10:31:55","USER 2"
"39","Aptal olman yetmmiyormus gibi bi de ukalasin","Bu konuda yeterli bilgiye sahip olmadığını ve tavrının gereksizce iddialı olduğunu düşünüyorum.","1","0.8447","1","llm","abandoned",,"2026-08-23 10:33:16","USER 2"
"40","Bu fotoğrafta bu kadar kilo almış birini görmek gerçekten çok kötü olmuş, hiç böyle paylaşmamalıydın.","Bu fotoğrafın paylaşım için en iyi tercih olmadığını düşünüyorum, belki farklı bir kare seçebilirdin.","0","0.8181","1","llm","rewrite_used","Bu fotoğrafın paylaşım için en iyi tercih olmadığını düşünüyorum, belki farklı bir kare seçebilirdin.","2026-08-23 10:34:02","USER 2"
"41","Açıklaman bana mantıklı gelmedi, biraz daha araştırmanı öneririm.","Açıklaman bana mantıklı gelmedi, biraz daha araştırmanı öneririm.","0","0.9873","0","llm","direct_posted","Açıklaman bana mantıklı gelmedi, biraz daha araştırmanı öneririm.","2026-08-23 10:39:28","USER  3"
"42","Her yorumunda ne kadar cahil olduğunu biraz daha gösteriyorsun.","Yorumlarınızda dile getirdiğiniz görüşlerin yeterince bilgiye dayanmadığını düşünüyorum.","1","0.5788","1","llm","original_posted","Her yorumunda ne kadar cahil olduğunu biraz daha gösteriyorsun.","2026-08-23 10:40:40","USER  3"
"43","Bu etnik gruba mensup insanların toplumda yeri olmamalı.","Farklı etnik grupların toplumsal uyumu ve bir arada yaşaması konusu değerlendirilmelidir.","0","0.9923","2","llm","abandoned",,"2026-08-23 10:41:59","USER  3"
"44","Seninle tartışmak zaman kaybı, söylediğin hiçbir şeyi anlamıyorsun.","Bu konuda fikirlerimizin uyuşmadığını ve birbirimizi anlamakta zorlandığımızı düşünüyorum.","0","0.9869","1","llm","original_posted","Seninle tartışmak zaman kaybı, söylediğin hiçbir şeyi anlamıyorsun.","2026-08-23 11:38:12","USER 3"
